Source,Target,Weight
000952,300406,1
000952,300434,0
000952,300452,0
000952,300463,0
000952,300485,0
000952,300501,0
000952,300519,1
000952,600006,1
000952,600059,1
000952,600079,1
000952,600081,1
000952,600196,1
000952,600299,0
000952,600380,1
000952,600513,0
000952,600535,1
000952,600559,1
000952,600594,0
000952,600671,1
000952,600686,0
000952,600699,1
000952,600779,1
000952,601579,0
000952,601799,1
000952,603006,0
000952,603037,1
000952,603089,0
000952,603158,0
000952,603166,1
000952,603239,1
000952,603358,0
000952,603369,0
000952,603567,0
000952,603788,1
000952,603919,1
000952,603997,0
000957,000403,1
000957,000518,0
000957,000534,0
000957,000590,0
000957,000729,0
000957,000788,0
000957,002252,0
000957,002581,0
000957,002646,0
000957,002821,1
000957,300009,0
000957,300147,0
000957,300204,0
000957,300436,0
000957,300528,0
000957,300558,0
000957,300583,0
000957,300585,0
000957,300601,0
000957,600136,1
000957,600351,0
000957,600385,0
000957,600771,0
000957,600789,1
000957,600812,0
000957,600851,0
000980,000030,1
000980,000423,0
000980,000566,0
000980,000581,1
000980,000625,0
000980,000752,0
000980,000760,0
000980,000766,0
000980,000802,0
000980,000892,0
000980,000908,0
000980,000927,0
000980,000981,0
000980,002048,1
000980,002102,1
000980,002198,0
000980,002219,0
000980,002269,0
000980,002349,0
000980,002370,0
000980,002435,0
000980,002437,0
000980,002445,0
000980,002486,0
000980,002502,0
000980,002592,0
000980,002656,0
000980,002662,0
000980,002703,0
000980,002739,0
000980,002740,0
000980,002750,0
000980,002765,0
000980,300006,0
000980,300027,0
000980,300086,0
000980,300100,0
000980,300108,0
000980,300111,0
